,time,pitch,wg,Vx,Pitch increment,reward
0,1.0000000000000007,18.0,7.717025319193891,18.0,0.76865995,-0.024656950867943582
1,1.1000000000000008,18.104340213537192,7.699827086290327,18.0,1.0,-0.01955161406044262
2,1.2000000000000008,18.100598577260957,7.7934145109687485,18.0,-0.007297039,-0.05448233393078019
3,1.300000000000001,18.22367395997045,7.902091686055912,18.0,0.86293364,-0.11702672166857696
4,1.400000000000001,18.199555194377925,7.922306775068164,18.0,-0.49670112,-0.1312661992602936
5,1.500000000000001,17.916143929958363,7.856603061255425,18.0,0.15935194,-0.08797337594608987
6,1.6000000000000012,17.97645723819732,7.797861193020963,18.0,0.35107636,-0.05657794714535597
7,1.7000000000000013,18.378962788581852,7.817417741178432,18.0,0.73255455,-0.06626389347340653
8,1.8000000000000014,18.281094654798533,7.896417153287905,18.0,-0.6309582,-0.11317650102633778
9,1.9000000000000015,18.114857376813863,7.957424612774647,18.0,-0.4290322,-0.15794632283907814
10,2.0000000000000013,18.339344891309754,7.9484902577605485,18.0,-0.86790025,-0.15092468037485773
11,2.109999999999999,18.094696584939957,7.896440107478475,18.0,0.15661335,-0.11319194592012816
12,2.209999999999997,18.059472543001174,7.884709589425393,18.0,-0.72303,-0.10543631746480749
13,2.3099999999999947,18.06550208568572,7.932084964601578,18.0,0.5596435,-0.13844722088255773
14,2.4099999999999926,18.231058717966093,7.992661433262741,18.0,0.06207478,-0.18719591583296985
15,2.5099999999999905,17.74491402029991,8.012120198033212,18.0,0.46308923,-0.20441267346959155
16,2.6099999999999883,18.02821606636046,7.98320238507191,18.0,-0.055419087,-0.17910025873055338
17,2.709999999999986,18.21319849252703,7.951632157710227,18.0,-0.28434712,-0.1533757469527685
18,2.809999999999984,17.883179610967638,7.957300135422779,18.0,-0.97840166,-0.15784739760695868
19,2.909999999999982,17.919656462669398,7.9966782750072145,18.0,-1.0,-0.1906879158632768
20,3.00999999999998,18.023777738809624,8.031325015126892,18.0,0.3245852,-0.22214726988436576
21,3.1099999999999777,17.985746898651136,8.033130588356276,18.0,-0.22298515,-0.22385255363835588
22,3.2099999999999755,18.099936802387266,8.012348621598818,18.0,0.061525226,-0.20461927546235098
23,3.3099999999999734,18.063140161037456,7.999631820913693,18.0,0.19451296,-0.19327613795989013
24,3.4099999999999713,18.016152119636526,8.014499265048377,18.0,0.86856866,-0.20656958192951505
25,3.509999999999969,17.795953091383012,8.044019495448016,18.0,0.021589398,-0.2342748719737519
26,3.609999999999967,17.91171894431115,8.059918885269779,18.0,-0.8281877,-0.2499188918493788
27,3.709999999999965,17.69690636277202,8.052275049555114,18.0,-0.94094604,-0.24233472441448997
28,3.8099999999999627,17.55484547138219,8.035804008034678,18.0,-1.0,-0.22638945406186387
29,3.9099999999999606,17.32958137989044,8.034836401570356,18.0,-0.9231966,-0.2254696082562847
30,4.009999999999959,17.17241904020312,8.055353457159756,18.0,-0.88315463,-0.2453750475201222
31,4.109999999999957,16.991445733308794,8.079974201044791,18.0,-0.7884764,-0.27037316975216963
32,4.209999999999955,16.804383925199538,8.08993262483098,18.0,-0.9620024,-0.2808285868602535
33,4.3099999999999525,16.613618532419263,8.085202752299635,18.0,-0.9292272,-0.275837931023112
34,4.40999999999995,16.46792497754101,8.08151300381365,18.0,-0.84429455,-0.27197581314673563
35,4.509999999999948,16.267648240327876,8.093701396214744,18.0,-0.84926,-0.2848371803215675
36,4.609999999999946,16.068828378915846,8.119858125304795,18.0,-0.91119117,-0.3134411204697997
37,4.709999999999944,15.967532581090971,8.144859474151067,18.0,-1.0,-0.34206060450426323
38,4.809999999999942,15.759580914974256,8.157657464831173,18.0,-0.8987756,-0.3571944452684253
39,4.90999999999994,15.589948962926897,8.162147291793843,18.0,-0.9093373,-0.3625813610146604
40,5.009999999999938,15.37099666953092,8.17247135227315,18.0,-0.8704108,-0.37512115735530044
41,5.1099999999999355,15.207223302125978,8.198446955534973,18.0,-0.80146,-0.4076145150318758
42,5.209999999999933,15.063542174100942,8.235360743422836,18.0,-0.62312835,-0.4561121337566465
43,5.309999999999931,14.885772616863312,8.270426812042754,18.0,-0.97609186,-0.5047062552692304
44,5.409999999999929,14.755596157312443,8.296682548517603,18.0,-0.88554865,-0.5427011772903917
45,5.509999999999927,14.591312325000793,8.319404020692978,18.0,-0.75771856,-0.5766944666446623
46,5.609999999999925,14.46260221838958,8.34915153826508,18.0,-0.8073257,-0.6227601503461421
47,5.709999999999923,14.300686969757146,8.38967493093013,18.0,-0.8022498,-0.6883604910139176
48,5.809999999999921,14.12977869868285,8.434186009699637,18.0,-0.64948213,-0.7642011795545746
49,5.909999999999918,14.076157884597832,8.471860502344324,18.0,-0.79514205,-0.8314895757356434
50,6.009999999999916,13.857844564914759,8.499955428214522,18.0,-0.5694658,-0.8835162070299453
51,6.109999999999914,13.807113281488485,8.52700927129389,18.0,-0.50934315,-0.9351069307683411
52,6.209999999999912,13.632025791406686,8.563845330599353,18.0,-0.6315917,-1.007705447766125
53,6.30999999999991,13.535452703237592,8.610894015962488,18.0,-0.82614654,-1.1043782327857674
54,6.409999999999908,13.361354498863294,8.6584947205895,18.0,-0.5126527,-1.206690651163005
55,6.509999999999906,13.318459331989356,8.698927335547825,18.0,-0.7594459,-1.2971554756580697
56,6.6099999999999035,13.133066085577083,8.735308007605274,18.0,-0.6579905,-1.381348912741081
57,6.709999999999901,12.956433622837128,8.776908694733272,18.0,-0.6020216,-1.4808667713174377
58,6.809999999999899,12.955483826398908,8.828601238043667,18.0,-0.73001736,-1.6093491011659267
