Wall time,Step,Value
1732555878.434512,990,2.3919119834899902
1732555892.3613203,1485,8.235197067260742
1732555907.804699,1980,17.079710006713867
1732555929.0377452,2475,25.313549041748047
1732555955.3517973,2970,36.36216354370117
1732555980.532451,3465,34.57252883911133
1732556000.2928822,3960,35.15763473510742
1732556018.297035,4455,36.45282745361328
1732556038.3120296,4950,32.658042907714844
1732556062.1248813,5445,30.003313064575195
1732556082.4775057,5940,30.005979537963867
1732556101.1504238,6435,30.84549331665039
1732556122.544478,6930,30.03766632080078
1732556150.3046408,7425,33.598655700683594
1732556170.4072938,7920,28.545127868652344
1732556185.6135166,8415,27.3989200592041
1732556201.6640174,8910,26.462600708007812
1732556216.8362248,9405,29.748281478881836
1732556232.8820453,9900,27.154972076416016
1732556250.5591228,10395,26.047948837280273
1732556276.781573,10890,23.230941772460938
1732556297.1817517,11385,20.206954956054688
1732556312.5320544,11880,21.030838012695312
1732556331.1146216,12375,18.746963500976562
1732556357.4327095,12870,17.354572296142578
1732556391.613627,13365,17.32465934753418
1732556433.5544758,13860,19.09015655517578
1732556465.9823785,14355,13.262786865234375
1732556511.0925968,14850,19.139659881591797
1732556531.9839342,15345,19.156024932861328
1732556550.1466067,15840,17.823837280273438
1732556568.4427648,16335,15.626678466796875
1732556586.3673007,16830,12.011670112609863
1732556617.632617,17325,16.617164611816406
1732556661.40395,17820,15.54398250579834
1732556703.4514325,18315,11.618898391723633
1732556728.5416315,18810,16.364545822143555
1732556749.9772515,19305,10.591444969177246
1732556780.6635597,19800,13.615285873413086
1732556803.7253938,20295,13.318955421447754
1732556824.4763365,20790,13.71148681640625
1732556861.6452444,21285,10.566502571105957
1732556886.857826,21780,11.674760818481445
1732556905.2181773,22275,9.992526054382324
1732556923.050207,22770,16.12677764892578
1732556940.5455062,23265,13.00592041015625
1732556958.3042693,23760,12.00955867767334
1732556977.155016,24255,9.994010925292969
1732556995.0325873,24750,9.044657707214355
1732557013.2108126,25245,8.267267227172852
1732557031.2424893,25740,11.789924621582031
1732557049.3078706,26235,10.87498664855957
1732557068.94003,26730,7.711123943328857
1732557086.937255,27225,11.131963729858398
1732557108.0345187,27720,11.531865119934082
1732557129.9196684,28215,9.475178718566895
1732557152.891546,28710,7.181684970855713
1732557170.0794785,29205,11.515440940856934
1732557187.4341486,29700,9.945975303649902
1732557205.4919941,30195,7.3967461585998535
1732557226.61989,30690,8.502350807189941
1732557247.8814862,31185,8.194807052612305
1732557265.806569,31680,5.949846267700195
1732557282.252743,32175,6.564867973327637
1732557299.8628685,32670,6.9596848487854
1732557319.0301723,33165,7.816014289855957
1732557342.0039883,33660,9.254145622253418
1732557363.8272145,34155,13.174692153930664
1732557391.8742056,34650,9.190780639648438
1732557429.4058893,35145,7.7923808097839355
1732557461.321432,35640,9.772876739501953
1732557497.3416047,36135,5.203474044799805
1732557517.3369093,36630,5.597126007080078
1732557535.2258918,37125,11.628737449645996
1732557553.4170473,37620,4.714136123657227
1732557571.5200765,38115,5.381549835205078
1732557590.159376,38610,5.983656883239746
1732557608.216229,39105,6.511292934417725
1732557626.3705482,39600,4.918492317199707
