,time,Pitch_increment,w_rpm,w_rads,pitch,pitch_ref,Vx,obs.error_wg,obs.pitch,obs.Vx,obs.pitch_ref,reward
0,0.0,0.36170757,7.566418290169552,0.7923534704794704,15.549999999999999,0.2763129879939246,18.0,-0.002353470479470321,0.27139869868511823,18.0,0.2763129879939246,-5.538823297738262e-06
1,0.01,-0.24356103,7.57253749516633,0.7929942721282598,18.084112330307814,0.2720620461007509,18.0,-0.002994272128259756,0.3156273024643757,18.0,0.2720620461007509,-8.96566557807321e-06
2,0.02,-0.5050278,7.580431309835902,0.7938209104674174,10.823838404784334,0.26324764868286116,18.0,-0.0038209104674173933,0.1889116178672974,18.0,0.26324764868286116,-1.4599356800019802e-05
3,0.03,0.20555806,7.583401319742287,0.7941319291775171,14.88620754614822,0.2668353136617938,18.0,-0.004131929177517035,0.25981333481551216,18.0,0.2668353136617938,-1.7072838728016603e-05
4,0.04,0.9905195,7.593418932025448,0.7951809710826934,20.483906316757196,0.2841231406542591,18.0,-0.005180971082693331,0.3575116088974776,18.0,0.2841231406542591,-2.6842461359704504e-05
5,0.05,0.5002264,7.600622936891458,0.7959353727081429,19.866054568912155,0.2928537379633792,18.0,-0.0059353727081428165,0.3467280616083798,18.0,0.2928537379633792,-3.522864918456659e-05
6,0.060000000000000005,-1.0,7.606205921216846,0.7965200214595343,12.408717070247329,0.2754004454434359,18.0,-0.006520021459534231,0.2165729688242404,18.0,0.2754004454434359,-4.2510679832786885e-05
7,0.07,-0.22769392,7.6078683352135625,0.796694109046178,7.524058972026471,0.2714264369335222,18.0,-0.006694109046177954,0.13131960217608185,18.0,0.2714264369335222,-4.481109592212152e-05
8,0.08,-0.36984897,7.61685839033394,0.7976355454168961,25.240650330211302,0.26497135473127964,18.0,-0.007635545416896039,0.44053245360678117,18.0,0.26497135473127964,-5.8301553813482103e-05
9,0.09,-0.03241563,7.630872367634824,0.7991030856880972,8.999661360408446,0.2644055952860167,18.0,-0.009103085688097146,0.15707372230363942,18.0,0.2644055952860167,-8.286616904483908e-05
10,0.09999999999999999,-0.9005972,7.627819980693983,0.7987834404751217,18.450019751216537,0.24868720865523253,18.0,-0.008783440475121695,0.3220135917167137,18.0,0.24868720865523253,-7.714882658000603e-05
11,0.10999999999999999,-0.80097735,7.639716744263664,0.8000292666428553,5.746555123950633,0.23470751667637701,18.0,-0.010029266642855306,0.1002963075602894,18.0,0.23470751667637701,-0.00010058618939349014
12,0.11999999999999998,0.70746183,7.640448464717131,0.8001058922295584,16.25367430272258,0.24705505501106925,18.0,-0.010105892229558378,0.28368013212930254,18.0,0.24705505501106925,-0.0001021290577554484
13,0.12999999999999998,0.25236988,7.655930994866613,0.801727218995445,23.354109678889902,0.25145974036173535,18.0,-0.011727218995444932,0.4076061077685044,18.0,0.25145974036173535,-0.00013752766536712446
14,0.13999999999999999,-0.7438408,7.66301941009238,0.8024695161020736,6.2476330143467145,0.23847726905306002,18.0,-0.012469516102073586,0.1090417665566483,18.0,0.23847726905306002,-0.00015548883181987244
15,0.15,-0.3758012,7.657440229175556,0.8018852656426957,9.527602229739824,0.23191830068176378,18.0,-0.011885265642695653,0.16628802872931311,18.0,0.23191830068176378,-0.0001412595393974417
16,0.16,0.7548555,7.669568790951022,0.8031553656617761,18.27432588162578,0.24509301477044002,18.0,-0.013155365661776108,0.3189471552167854,18.0,0.24509301477044002,-0.00017306364569503796
17,0.17,1.0,7.678230717926503,0.804062440533513,19.86807755055584,0.2625463072903833,18.0,-0.01406244053351291,0.34676336929876955,18.0,0.2625463072903833,-0.00019775223375858686
18,0.18000000000000002,-0.10941923,7.682053380323652,0.8044627488036474,14.359074984218253,0.2606365815204173,18.0,-0.014462748803647396,0.25061313601536134,18.0,0.2606365815204173,-0.00020917110295740418
19,0.19000000000000003,0.515852,7.6794028614667695,0.8041851871180146,8.208101068164487,0.26963989692813456,18.0,-0.01418518711801453,0.14325838897593382,18.0,0.26963989692813456,-0.00020121953357308539
20,0.20000000000000004,0.08072364,7.683124364246913,0.8045749019778283,24.915380631114623,0.27104879028797596,18.0,-0.014574901977828292,0.4348554264005729,18.0,0.27104879028797596,-0.00021242776766330305
21,0.21000000000000005,-0.067352355,7.69389973322082,0.8057032959781,9.47012499394574,0.2698732699425177,18.0,-0.01570329597809994,0.16528486171976123,18.0,0.2698732699425177,-0.00024659350457580977
22,0.22000000000000006,-1.0,7.681030249971317,0.8043556068436953,16.805223200942653,0.2524199774225744,18.0,-0.014355606843695301,0.29330647638898993,18.0,0.2524199774225744,-0.00020608344785075136
23,0.23000000000000007,0.98697495,7.685056366047847,0.8047772207333128,7.023889158393504,0.269645940015155,18.0,-0.01477722073331278,0.12258999210910015,18.0,0.269645940015155,-0.00021836625260104908
24,0.24000000000000007,0.035342097,7.687870552953095,0.8050719216968915,32.92788854661148,0.2702627759772932,18.0,-0.015071921696891422,0.5747000708681006,18.0,0.2702627759772932,-0.0002271628236372264
25,0.25000000000000006,-0.27938354,7.7038577176091625,0.8067460936647326,0.9652560097233004,0.26538661332573676,18.0,-0.016746093664732564,0.01684689549433399,18.0,0.26538661332573676,-0.00028043165302799614
26,0.26000000000000006,-0.026497066,7.671030263192815,0.8033084106770508,18.55191836180844,0.2649241522815526,18.0,-0.013308410677050797,0.3237920579747499,18.0,0.2649241522815526,-0.00017711379474903965
27,0.2700000000000001,-0.12221545,7.68976626692261,0.805270440399556,16.950630221988337,0.2627910902855617,18.0,-0.01527044039955594,0.2958443076617538,18.0,0.2627910902855617,-0.0002331863499963902
28,0.2800000000000001,-0.46340674,7.679735131134261,0.804219982316228,12.911807630683551,0.2547031168683696,18.0,-0.014219982316228008,0.225353555539556,18.0,0.2547031168683696,-0.00020220789707383726
29,0.2900000000000001,0.5102999,7.671490241593208,0.8033565795025003,12.25521240058104,0.2636095306631108,18.0,-0.013356579502500243,0.21389380692137738,18.0,0.2636095306631108,-0.00017839821600660965
30,0.3000000000000001,-0.7393126,7.6734771823719115,0.8035646514542835,23.23560014786876,0.2507060917806755,18.0,-0.013564651454283427,0.40553772625719114,18.0,0.2507060917806755,-0.0001839997690761935
31,0.3100000000000001,0.24078572,7.671871544518295,0.8033965094514418,1.1520827752605847,0.25490859535092875,18.0,-0.013396509451441774,0.020107637683811075,18.0,0.25490859535092875,-0.00017946646548256878
32,0.3200000000000001,0.190274,7.6588118313154405,0.8020288994829059,26.939504657413142,0.2582295031347979,18.0,-0.012028899482905864,0.47018305512820635,18.0,0.2582295031347979,-0.00014469442276985296
33,0.3300000000000001,-0.3744365,7.673886848756901,0.8036075516178002,9.70293263020673,0.25169435341050106,18.0,-0.01360755161780014,0.16934812149630085,18.0,0.25169435341050106,-0.0001851654610310952
34,0.34000000000000014,0.4321258,7.648997696098307,0.8010011656462565,11.466033373500474,0.25923637152214585,18.0,-0.011001165646256417,0.20012003451113602,18.0,0.25923637152214585,-0.00012102564557637236
35,0.35000000000000014,0.69580543,7.655439033762217,0.8016757009490642,22.76510569873015,0.27138046723609666,18.0,-0.011675700949064116,0.3973260490073654,18.0,0.27138046723609666,-0.00013632199265197671
36,0.36000000000000015,0.043195844,7.658866957728865,0.8020346723074204,14.731684301520955,0.27213437693177905,18.0,-0.012034672307420391,0.25711639542590176,18.0,0.27213437693177905,-0.00014483333754699123
37,0.37000000000000016,-0.4637679,7.644225743494954,0.8005014479381907,11.514729235793723,0.2640401003532413,18.0,-0.010501447938190633,0.20096993764025098,18.0,0.2640401003532413,-0.00011028040879852831
38,0.38000000000000017,0.3995757,7.637521449843131,0.7997993759487215,14.03318319144407,0.2710140121089125,18.0,-0.00979937594872149,0.24492525122622477,18.0,0.2710140121089125,-9.602776898438118e-05
39,0.3900000000000002,-0.5144978,7.642322057119698,0.8003020943671493,22.882417414809826,0.2620343312155724,18.0,-0.01030209436714924,0.3993735247041205,18.0,0.2620343312155724,-0.00010613314834964809
40,0.4000000000000002,-0.27433902,7.640531847758015,0.8001146240811808,4.539686356212286,0.2572462120454756,18.0,-0.0101146240811808,0.07923247392376853,18.0,0.2572462120454756,-0.00010230562030360255
41,0.4100000000000002,0.618124,7.624294530410452,0.7984142561847439,20.15103468718684,0.2680345111738185,18.0,-0.008414256184743896,0.351701902974996,18.0,0.2680345111738185,-7.07997071425009e-05
42,0.4200000000000002,-0.81068146,7.6416307971917155,0.8002297057967669,20.073563728954003,0.25388545047201233,18.0,-0.010229705796766853,0.3503497796791579,18.0,0.25388545047201233,-0.00010464688068840534
43,0.4300000000000002,0.906973,7.630615057329295,0.7990761402159124,1.0226757270351532,0.2697151156244698,18.0,-0.00907614021591241,0.01784905861699021,18.0,0.2697151156244698,-8.237632121890256e-05
44,0.4400000000000002,0.30191326,7.634555684020246,0.7994888016780067,34.18109551491897,0.27498449609157105,18.0,-0.009488801678006697,0.5965726586740027,18.0,0.27498449609157105,-9.003735728454272e-05
45,0.45000000000000023,0.7187872,7.659607622069801,0.802112234495829,4.4294957858578075,0.287529699235796,18.0,-0.012112234495828988,0.07730928566643241,18.0,0.287529699235796,-0.0001467062244819497
46,0.46000000000000024,-0.80736125,7.633075625387903,0.7993338103004651,24.550949667121557,0.27343858725483433,18.0,-0.009333810300465095,0.428494906182677,18.0,0.27343858725483433,-8.712001472506831e-05
47,0.47000000000000025,0.9273846,7.652964072296462,0.8014165235904397,2.62270841422238,0.28962450221795494,18.0,-0.011416523590439653,0.04577489714793981,18.0,0.28962450221795494,-0.0001303370108910651
48,0.48000000000000026,-0.12072533,7.6508053523488035,0.801190462966149,35.3789736968533,0.2875174476544844,18.0,-0.011190462966149006,0.6174795769865603,18.0,0.2875174476544844,-0.0001252264613967524
49,0.49000000000000027,0.48670542,7.683087448287636,0.8045710361476128,1.4782940489307956,0.29601205976269906,18.0,-0.014571036147612793,0.025801098466480543,18.0,0.29601205976269906,-0.00021231509441503864
50,0.5000000000000002,0.36444855,7.6548480427288945,0.8016138125127767,27.505422745372417,0.30237288686829883,18.0,-0.011613812512776711,0.4800601890596866,18.0,0.30237288686829883,-0.0001348806410819289
51,0.5100000000000002,0.1153034,7.691502418165374,0.8054522497325489,13.842213128234548,0.304385310787801,18.0,-0.015452249732548884,0.24159219485047692,18.0,0.304385310787801,-0.00023877202179705705
52,0.5200000000000002,0.8771982,7.675862104022878,0.8038143998655521,17.272187803413047,0.31969530790720535,18.0,-0.013814399865552107,0.3014565461923647,18.0,0.31969530790720535,-0.00019083764364536608
53,0.5300000000000002,0.7745342,7.694222624312062,0.8057371090541051,25.517280970241217,0.33321348031093395,18.0,-0.01573710905410508,0.44536056908720245,18.0,0.33321348031093395,-0.0002476566013807961
54,0.5400000000000003,-1.0,7.708950785372272,0.8072794384736931,16.728086147929815,0.31576018779099063,18.0,-0.017279438473693065,0.2919601808386305,18.0,0.31576018779099063,-0.0002985789939661441
55,0.5500000000000003,-0.6377567,7.700676950633702,0.8064130045259696,6.61707154336131,0.3046292334571116,18.0,-0.01641300452596961,0.11548968527167759,18.0,0.3046292334571116,-0.0002693867175694989
56,0.5600000000000003,0.9206284,7.7093147907151165,0.8073175570240582,25.34738865914503,0.32069723072118517,18.0,-0.017317557024058128,0.44239538888475144,18.0,0.32069723072118517,-0.000299897781281505
57,0.5700000000000003,-0.1670999,7.742583935989595,0.8108014937702419,26.342658076907778,0.3177807874069799,18.0,-0.020801493770241875,0.45976611716911836,18.0,0.3177807874069799,-0.0004327021430734115
58,0.5800000000000003,-0.2841274,7.749141938685578,0.8114882462066393,5.475630973006872,0.3128218285335491,18.0,-0.02148824620663925,0.09556778910315067,18.0,0.3128218285335491,-0.0004617447250371461
59,0.5900000000000003,0.6670966,7.744494265627068,0.8110015430220759,22.562248979236244,0.3244648608913745,18.0,-0.021001543022075908,0.3937855313424022,18.0,0.3244648608913745,-0.00044106480930810525
60,0.6000000000000003,0.22136772,7.78183673900248,0.8149120376895115,25.012386296416913,0.32832845640696917,18.0,-0.024912037689511446,0.4365484946531855,18.0,0.32832845640696917,-0.0006206096218436388
61,0.6100000000000003,0.26642752,7.791313840121385,0.8159044773979274,12.658273254062317,0.33297849379543726,18.0,-0.02590447739792734,0.22092854590052413,18.0,0.33297849379543726,-0.0006710419492597284
62,0.6200000000000003,0.85087,7.796530718679396,0.8164507876430114,22.615615819121977,0.34782897703291066,18.0,-0.026450787643011342,0.3947169584097929,18.0,0.34782897703291066,-0.0006996441669356816
63,0.6300000000000003,-0.18423027,7.825347390999101,0.8194684625116945,24.51155928197065,0.34461355227445195,18.0,-0.029468462511694438,0.42780741426816504,18.0,0.34461355227445195,-0.0008683902828031404
64,0.6400000000000003,0.8179246,7.8356484901857275,0.8205471910959812,10.873129699851647,0.3588890299042528,18.0,-0.03054719109598114,0.18977191325879406,18.0,0.3588890299042528,-0.0009331308838543895
65,0.6500000000000004,-0.90882266,7.848154273812992,0.8218567936950077,32.93644890608946,0.34302708224595657,18.0,-0.03185679369500771,0.5748494773261457,18.0,0.34302708224595657,-0.0010148553045262832
66,0.6600000000000004,-0.5429609,7.876563539644218,0.8248318050559831,2.432155285503062,0.3335506271422623,18.0,-0.034831805055983045,0.04244911765181114,18.0,0.3335506271422623,-0.001213254643458006
67,0.6700000000000004,-0.3818984,7.86506331161158,0.823627503992585,28.129436050082806,0.32688524259887675,18.0,-0.03362750399258496,0.4909512758031335,18.0,0.32688524259887675,-0.0011308090247713176
68,0.6800000000000004,-0.3116157,7.899937551578773,0.8272795258619338,15.74152848544279,0.32144652253714934,18.0,-0.03727952586193373,0.27474150136745296,18.0,0.32144652253714934,-0.0013897630484905855
69,0.6900000000000004,0.23565507,7.896149923649982,0.8268828863927463,17.937605713035264,0.3255594793963433,18.0,-0.036882886392746284,0.3130702796170105,18.0,0.3255594793963433,-0.001360347308660229
70,0.7000000000000004,0.44010127,7.911770329571286,0.8285186514756949,22.28805062594569,0.3332406955286205,18.0,-0.03851865147569489,0.3889998672739354,18.0,0.3332406955286205,-0.0014836865115060518
71,0.7100000000000004,-0.20030671,7.92220715569778,0.8296115933518879,19.081364725257554,0.32974468386278133,18.0,-0.03961159335188791,0.3330326402296475,18.0,0.32974468386278133,-0.0015690783278753304
72,0.7200000000000004,0.002534151,7.924040055909109,0.829803534213177,14.379403386737485,0.32978891314282266,18.0,-0.03980353421317695,0.2509679335709926,18.0,0.32978891314282266,-0.001584321335859548
73,0.7300000000000004,-0.24132895,7.929412033738466,0.8303660864159756,22.883704457904482,0.3255769283029698,18.0,-0.04036608641597561,0.39939598784373737,18.0,0.3255769283029698,-0.0016294209325420108
74,0.7400000000000004,0.2871034,7.937054606947557,0.8311664148109156,15.256575916434914,0.33058782818033283,18.0,-0.04116641481091554,0.2662774823222605,18.0,0.33058782818033283,-0.0016946737083843664
75,0.7500000000000004,-1.0,7.93588188479568,0.8310436076343476,23.86438164534726,0.3131345356603895,18.0,-0.041043607634347556,0.41651203366381145,18.0,0.3131345356603895,-0.001684577727642273
76,0.7600000000000005,-0.90321857,7.938111877920451,0.8312771319682922,5.861074243213303,0.2973703977946129,18.0,-0.04127713196829219,0.10229504324790706,18.0,0.2973703977946129,-0.0017038016235278093
77,0.7700000000000005,0.95376945,7.928802266265186,0.8303022317154938,21.489166234161047,0.3140168149221002,18.0,-0.04030223171549374,0.37505670429450105,18.0,0.3140168149221002,-0.0016242698812493496
78,0.7800000000000005,0.9450233,7.9423844667140955,0.8317245564204896,29.36707601370969,0.3305105829848556,18.0,-0.041724556420489556,0.5125521681226854,18.0,0.3305105829848556,-0.0017409386084866162
79,0.7900000000000005,-0.76917315,7.938923534289645,0.8313621284245155,13.443260584499034,0.31708597908155123,18.0,-0.041362128424515476,0.23462915940308554,18.0,0.31708597908155123,-0.0017108256678061112
80,0.8000000000000005,0.7637191,7.91969826989624,0.8293488634451275,8.236135993625282,0.33041539162064204,18.0,-0.03934886344512745,0.1437476907307759,18.0,0.33041539162064204,-0.001548333054423287
81,0.8100000000000005,-0.039792717,7.92533048305755,0.8299386674281615,36.504238579894704,0.3297208776993495,18.0,-0.039938667428161434,0.6371191541527017,18.0,0.3297208776993495,-0.001595097155937283
82,0.8200000000000005,-0.27462333,7.9290551681225105,0.830328715536062,6.145193133975633,0.32492779631112784,18.0,-0.04032871553606199,0.10725385335882381,18.0,0.32492779631112784,-0.0016264052967886076
83,0.8300000000000005,-0.057638764,7.896912668540105,0.8269627608508588,21.405700419570596,0.32392181009589105,18.0,-0.03696276085085881,0.3735999510170386,18.0,0.32392181009589105,-0.0013662456897177808
84,0.8400000000000005,0.8107579,7.901005401070231,0.8273913507991838,19.88179317536512,0.33807220445883684,18.0,-0.037391350799183765,0.34700275211065973,18.0,0.33807220445883684,-0.0013981131145876203
85,0.8500000000000005,0.347152,7.8859589979287215,0.8258156951467732,25.099237177993427,0.3441311497713085,18.0,-0.035815695146773185,0.43806432849495536,18.0,0.3441311497713085,-0.0012827640188465923
86,0.8600000000000005,0.05754614,7.877105231716157,0.8248885309171068,14.37332919659771,0.34513551936453984,18.0,-0.03488853091710675,0.2508619189536614,18.0,0.34513551936453984,-0.0012172095895539138
87,0.8700000000000006,-0.5198909,7.856651741603585,0.8227466464411759,20.8750859242932,0.33606171133112495,18.0,-0.032746646441175864,0.36433898101564005,18.0,0.33606171133112495,-0.0010723428531433758
88,0.8800000000000006,0.08731103,7.850689374297415,0.8221222687969403,15.445331190253862,0.33758557626805746,18.0,-0.032122268796940245,0.2695718833309046,18.0,0.33758557626805746,-0.0010318401526628808
