,time,Pitch_increment,Cp,Lambda_i,Lambda,Tem,Tm,Ia,Ea,w,pitch,dpitch,pitch_ref,Vx,actions.pitch,obs.error_wg,obs.pitch,obs.Vx,obs.pitch_ref
108,21.80000000000061,-0.017453292519943295,0.21374012929467567,10.048350137496236,10.380673151969681,188.76974148701575,189.36207993735732,30.675113666753727,253.79008284177692,41.240929702718454,0.0,0.0,0.0,12.45887946324416,0.0,-1.2409297027184536,0.0,12.45887946324416,0.0
109,22.00000000000064,-0.017453292519943295,0.21378145158972117,10.048046231265591,10.380350060402655,188.71106195115155,189.29862139536897,30.66557823264036,253.71118428189942,41.22810867391733,0.0,0.0,0.0,12.455393897996299,0.0,-1.2281086739173332,0.0,12.455393897996299,0.0
110,22.20000000000067,-0.017453292519943295,0.21382346262868995,10.047737239033932,10.380021562382568,188.65175705478381,189.23479225558822,30.655941177343546,253.6314453691313,41.21515108763493,0.0,0.0,0.0,12.451873344775182,0.0,-1.2151510876349292,0.0,12.451873344775182,0.0
111,22.400000000000702,-0.017453292519943295,0.2138661366858404,10.047423349005534,10.379687858024921,188.59186425269115,189.17063282299088,30.646208587270902,253.5509164636012,41.202065127400324,0.0,0.0,0.0,12.448320027237683,0.0,-1.2020651274003242,0.0,12.448320027237683,0.0
112,22.600000000000733,-0.017453292519943295,0.2139094475977802,10.047104752639324,10.379349150904224,188.53142136925487,189.1061836096984,30.63638660889053,253.46964842208462,41.18885905744781,0.0,0.0,0.0,12.444736189735318,0.0,-1.1888590574478073,0.0,12.444736189735318,0.0
113,22.800000000000765,-0.017453292519943295,0.21395336877800508,10.046781644545046,10.379005647943538,188.47046657457594,189.04148530942385,30.626481444850036,253.38769256589615,41.175541217499344,0.0,0.0,0.0,12.441124095896669,0.0,-1.1755412174993438,0.0,12.441124095896669,0.0
114,23.000000000000796,-0.017453292519943295,0.21399787323174477,10.046454222377086,10.378657559301494,188.40903836038476,188.97657877179842,30.616499350061872,253.30510064849474,41.16212001750041,0.0,0.0,0.0,12.43748602719762,0.0,-1.1621200175004134,0.0,12.43748602719762,0.0
115,23.200000000000827,-0.017453292519943295,0.21404293357112045,10.04612268672592,10.3783050982568,188.34717551574477,188.91150497660394,30.606446627755155,253.2219248228214,41.14860393231241,0.0,0.0,0.0,12.43382428152034,0.0,-1.1486039323124118,0.0,12.43382428152034,0.0
116,23.40000000000086,-0.017453292519943295,0.21408852203061807,10.045787241007158,10.377948481090193,188.28491710257853,188.84630500793455,30.596329625498637,253.13821760839005,41.13500149636488,0.0,0.0,0.0,12.430141171701885,0.0,-1.135001496364879,0.0,12.430141171701885,0.0
117,23.60000000000089,-0.017453292519943295,0.2141346104828518,10.045448091348348,10.37758792696403,188.2223024310241,188.78102002828533,30.58615473119615,253.05403185815288,41.12132129827114,0.0,0.0,0.0,12.426439024073353,0.0,-1.1213212982711411,0.0,12.426439024073353,0.0
