,time,Pitch_increment,Cp,Lambda_i,Lambda,Tem,Tm,Ia,Ea,w,pitch,dpitch,pitch_ref,Vx,actions.pitch,obs.error_wg,obs.pitch,obs.Vx,obs.pitch_ref,reward,integral_error
0,0.20000000000000004,0.0,0.22610173994489294,9.956512319165228,10.283065328285648,186.77652703764687,201.77939921188718,30.351215994833613,251.13269123623462,40.80910313499126,0.0,0.0,0.0,12.445447281104503,0.0,-0.8091031349912612,0.0,12.445447281104503,0.0,-0.0,0.0
1,0.4000000000000002,0.0,0.218010952545946,10.016832800143169,10.347169387297106,187.95206083328867,193.3536028077055,30.542240427649837,252.69823850689443,41.06350482087517,0.0,0.0,0.0,12.445447281104503,0.0,-1.063504820875167,0.0,12.445447281104503,0.0,-0.6467764868368161,-0.16182062699825225
2,0.6000000000000003,0.0,0.21544295435543054,10.035809931343426,10.367341798084077,188.3219804252228,190.70425978818855,30.602352421451126,253.19088847535463,41.14356052080565,0.0,0.0,0.0,12.445447281104503,0.0,-1.14356052080565,0.0,12.445447281104503,0.0,-1.1130216538778885,-0.37452159117328565
3,0.8000000000000005,0.0,0.21463229297900988,10.041784211668613,10.373692860155336,188.43844528473107,189.8703692152765,30.62127798004678,253.34599390931277,41.168765179028505,0.0,0.0,0.0,12.445447281104503,0.0,-1.1687651790285045,0.0,12.445447281104503,0.0,-1.285483070949455,-0.6032336953344157
4,1.0000000000000007,0.0,0.214376810027683,10.043665412800355,10.375692752161779,188.47511898867194,189.6078075549758,30.627237462896655,253.3948352076734,41.176701897948824,0.0,0.0,0.0,12.445447281104503,0.0,-1.1767018979488242,0.0,12.445447281104503,0.0,-1.3452482815469728,-0.8369867311401166
5,1.2000000000000008,0.01745320929615923,0.21009840978313124,10.069557790658262,10.403220691888226,186.77459631072762,181.02546538072448,30.35090225139549,251.09789354515436,40.80344850453609,0.011032532413558787,0.032103384413002214,0.01745320929615923,12.3,0.01745320929615923,-0.8034485045360924,0.011032532413558787,12.3,0.01745320929615923,-1.3700020948758564,-1.0723271107298815
6,1.400000000000001,0.01745328835875409,0.21345637903525316,10.03766097091741,10.36930414243951,186.16093593984857,184.52033908212968,30.251182341407734,250.27926493242745,40.670421221940686,0.025630602832155954,0.04637947411378683,0.03490649765491332,12.3,0.03490649765491332,-0.6704212219406855,0.025630602832155954,12.3,0.03490649765491332,-0.677445017934503,-1.2330168116370999
7,1.6000000000000012,0.01745328419756489,0.21429181683896864,10.02364440097566,10.354386954708396,185.8916764324342,185.5093975068658,30.207427627698188,249.91921543162033,40.611913119551424,0.04143528269142546,0.054622495805263724,0.05235978185247821,12.3,0.05235978185247821,-0.6119131195514242,0.04143528269142546,12.3,0.05235978185247821,-0.506114121413534,-1.367101056025237
8,1.8000000000000014,0.01745319681259162,0.21434517625394997,10.01510958426756,10.345275981896712,185.72767639495595,185.71900680216376,30.180777594957938,249.6993079482633,40.57617811777091,0.05780656408591678,0.06003207289576526,0.06981297866506983,12.3,0.06981297866506983,-0.5761781177709082,0.05780656408591678,12.3,0.06981297866506983,-0.45144032622675345,-1.489483679935522
9,2.0000000000000013,0.01745274740415767,0.2141561224386935,10.008214348316729,10.337876919099493,185.59472370341993,185.68800769369037,30.1591727609785,249.52072007267986,40.54715755896804,0.07449169747564484,0.06387014296791331,0.0872657260692275,12.3,0.0872657260692275,-0.5471575589680384,0.07449169747564484,12.3,0.0872657260692275,-0.42908792993116884,-1.6047193034897036
10,2.199999999999997,0.017450704260258874,0.21389203579213462,10.001786155949103,10.330933601058911,185.47004720855728,185.58367167890452,30.138912810303367,249.3531323048299,40.51992451945938,0.09136947739595404,0.06673476466766172,0.10471643032948638,12.3,0.10471643032948638,-0.51992451945938,0.09136947739595404,12.3,0.10471643032948638,-0.417449639607563,-1.7141508152833111
11,2.399999999999993,0.017441508032119694,0.2136043893048967,9.99547907115012,10.32406860205986,185.34680388198308,185.45733295071878,30.118885749708,249.1874348887215,40.49299866241591,0.10837297165483793,0.0689248335338407,0.12215793836160607,12.3,0.12215793836160607,-0.49299866241590706,0.10837297165483793,12.3,0.12215793836160607,-0.4104428275293906,-1.8181357191751872
12,2.5999999999999885,0.017400738780900867,0.21330896825392553,9.98919959251092,10.317173019155147,185.22301826802126,185.32462087535652,30.098770567324024,249.02099928253566,40.465952849364896,0.12545636872995955,0.07051154206273696,0.13955867714250694,12.3,0.13955867714250694,-0.46595284936489634,0.12545636872995955,12.3,0.13955867714250694,-0.4062687239488077,-1.9167354516583686
13,2.7999999999999843,0.017221526764889947,0.21301174277331547,9.982930429121758,10.310219652187731,185.0981949969306,185.1912004365492,30.07848676548799,248.8531689682248,40.43868039601693,0.14256583712228746,0.07107183392554714,0.1567802039073969,12.3,0.1567802039073969,-0.43868039601692743,0.14256583712228746,12.3,0.1567802039073969,-0.4043442983726456,-2.009926021531348
14,2.99999999999998,0.016455058600192134,0.21272172188361002,9.97668288524775,10.30321516240735,184.97244509992245,185.06478602802989,30.058052386789786,248.68410472540015,40.41120742908495,0.15954405217740247,0.06845605165093277,0.17323526250758903,12.3,0.17323526250758903,-0.41120742908495345,0.15954405217740247,12.3,0.17323526250758903,-0.40443175371376283,-2.0976621007347336
15,3.1999999999999758,0.013508370722560335,0.2124860363008148,9.970538593327099,10.296265108803084,184.84762147761305,184.98452468587124,30.03776852788065,248.51635438425643,40.383947971389645,0.175520903869268,0.056113646804406836,0.18674363323014936,12.3,0.18674363323014936,-0.3839479713896452,0.175520903869268,12.3,0.18674363323014936,-0.40641535939024837,-2.179903586551724
