,time,Pitch_increment,w_rpm,w_rads,pitch,pitch_ref,Vx,obs.error_wg,obs.pitch,obs.Vx,obs.pitch_ref,reward
0,0.0,0.0,7.678627099040384,0.8041039494666926,15.469860468532229,0.27,18.0,-0.014103949466692578,0.27,18.0,0.27,-0.00019892139055901787
1,0.01,0.0,7.639343044383908,0.7999901328829591,15.469860468532229,0.27,18.0,-0.009990132882959024,0.27,18.0,0.27,-9.980275501917918e-05
2,0.02,0.0,7.698106688848837,0.8061438473412651,15.469860468532229,0.27,18.0,-0.01614384734126506,0.27,18.0,0.27,-0.000260623806978071
3,0.03,0.0,7.927130501599452,0.8301271649290803,15.469860468532229,0.27,18.0,-0.040127164929080306,0.27,18.0,0.27,-0.0016101893652456126
4,0.04,0.0,7.9096767638108645,0.8282994137819367,15.469860468532229,0.27,18.0,-0.038299413781936686,0.27,18.0,0.27,-0.0014668450960400017
5,0.05,0.0,8.00412393847147,0.838189898784139,15.469860468532229,0.27,18.0,-0.04818989878413893,0.27,18.0,0.27,-0.0023222663448255547
6,0.060000000000000005,0.0,8.152402773748852,0.8537176221038149,15.469860468532229,0.27,18.0,-0.06371762210381482,0.27,18.0,0.27,-0.004059935366564551
7,0.07,0.0,8.135783266122052,0.8519772313349271,15.469860468532229,0.27,18.0,-0.06197723133492705,0.27,18.0,0.27,-0.0038411772039430637
8,0.08,0.0,8.257593267077924,0.8647331448061515,15.469860468532229,0.27,18.0,-0.07473314480615145,0.27,18.0,0.27,-0.0055850429326172015
9,0.09,0.0,8.361648066960376,0.875629737968867,15.469860468532229,0.27,18.0,-0.08562973796886697,0.27,18.0,0.27,-0.007332452024616818
10,0.09999999999999999,0.0,8.366649978837325,0.8761535369557513,15.469860468532229,0.27,18.0,-0.08615353695575123,0.27,18.0,0.27,-0.007422431929985993
11,0.10999999999999999,0.0,8.50221423838958,0.8903497930190415,15.469860468532229,0.27,18.0,-0.10034979301904146,0.27,18.0,0.27,-0.010070080958964462
12,0.11999999999999998,0.0,8.561365296252516,0.8965440773135168,15.469860468532229,0.27,18.0,-0.10654407731351678,0.27,18.0,0.27,-0.01135164041058864
13,0.12999999999999998,0.0,8.580726011004153,0.8985715266212498,15.469860468532229,0.27,18.0,-0.1085715266212498,0.27,18.0,0.27,-0.011787776392868755
14,0.13999999999999999,0.0,8.70108242660188,0.9111752209897239,15.469860468532229,0.27,18.0,-0.12117522098972389,0.27,18.0,0.27,-0.014683434181908421
15,0.15,0.0,8.740873138062451,0.9153420945499119,15.469860468532229,0.27,18.0,-0.12534209454991185,0.27,18.0,0.27,-0.015710640666159043
