,time,Pitch_increment,Cp,Lambda_i,Lambda,Tem,Tm,Ia,Ea,w,pitch,dpitch,pitch_ref,Vx
0,0.20000000000000004,0.0,0.2203229750573016,9.999678840087208,10.328937018180687,183.92193008739136,188.1041232818116,29.887343526544623,247.27807223071574,40.18272692021823,0.0,0.0,0.0,12.2
1,0.4000000000000002,0.0,0.21840790917083638,10.013892241540482,10.344043828734135,184.19343978189252,186.19678023925118,29.93146389602143,247.63973413112586,40.24149703780499,0.0,0.0,0.0,12.2
2,0.6000000000000003,0.0,0.21779181567244577,10.018455293139432,10.348893980864021,184.28061306042855,185.58453160577167,29.945629567949208,247.75584833209274,40.26036561433069,0.0,0.0,0.0,12.2
3,0.8000000000000005,0.0,0.21759386319018065,10.019920436129663,10.350451337544168,184.30860390141632,185.38795437929008,29.95017808415824,247.79313195159443,40.266424208558306,0.0,0.0,0.0,12.2
4,1.0000000000000007,0.0,0.21753028615001552,10.020390900189986,10.350951414832462,184.31759193973235,185.32483344646243,29.95163864184515,247.8051039626153,40.26836966229465,0.0,0.0,0.0,12.2
5,1.2000000000000008,0.017453292519943295,0.21702045416459823,10.018654665238872,10.349105470474374,184.28514346094175,184.92346076466893,29.946365758768795,247.7609114613434,40.26118837365668,0.011032585021031042,0.03210353749456127,0.017453292519943295,12.2
6,1.400000000000001,0.017453292519943295,0.216561423383453,10.01476819202135,10.34496949729381,184.21177437785462,184.60609692576384,29.93444327084465,247.66189493398076,40.24509817187005,0.025630671711788372,0.046379566640491095,0.03490658503988659,12.2
7,1.6000000000000012,-0.017453292519943295,0.21713663529635996,10.013091865025833,10.343190368994703,184.1794605207113,185.1282702041109,29.929192263807852,247.61930203063747,40.23817681815541,0.020461582207320816,-0.015041448436887601,0.017453292519943295,12.2
8,1.8000000000000014,-0.017453292519943295,0.2177224267430424,10.015159761048785,10.345390942991685,184.2181625247503,185.58822447349857,29.935481345753274,247.6719844794526,40.246737724648774,0.007628560502563882,-0.038142802512819415,0.0,12.2
9,2.0000000000000013,0.017453292519943295,0.21720936225038298,10.015857208141073,10.346131563548077,184.2318802756169,185.13763056782116,29.93771048249823,247.68971517362922,40.24961896533372,0.013838975595689033,0.018071584621271314,0.017453292519943295,12.2
10,2.199999999999997,-0.017453292519943295,0.21763727882360262,10.017056850143762,10.347407493110468,184.2542367895684,185.47948961279826,29.941343419648287,247.72026133747306,40.2545827219221,0.00509107460858594,-0.025455373042929698,0.0,12.2
11,2.399999999999993,0.017453292519943295,0.21713972600137488,10.016838055753967,10.34717428589423,184.25055900391928,185.0596253472926,29.940745778882665,247.71467828175687,40.25367547446097,0.012905486703021184,0.02273902908461056,0.017453292519943295,12.2
12,2.5999999999999885,0.017453292519943295,0.21662529557569804,10.01382548720791,10.343966874423657,184.19381706732074,184.67844310615405,29.931525204964828,247.63789182019767,40.24119766197978,0.026574809494964526,0.04165887772461033,0.03490658503988659,12.2
13,2.7999999999999843,-0.017453292519943295,0.21717282995580423,10.012650896904203,10.34272152378912,184.17105703106455,185.16752280241323,29.927826695374684,247.6080777257156,40.23635286678165,0.02080891108738858,-0.016778092837226415,0.017453292519943295,12.2
14,2.99999999999998,-0.017453292519943295,0.21773934140589957,10.01495802368136,10.345176505357061,184.2143186228933,185.60648988068874,29.934856711076876,247.6668507735533,40.24590349660591,0.007781841744309456,-0.03890920872154728,0.0,12.2
15,3.1999999999999758,0.017453292519943295,0.2172173488531074,10.015769992946128,10.34603885071655,184.23021768870186,185.14609703505906,29.937440311854367,247.6874955986419,40.249258284037595,0.013895364613245033,0.01778963953349131,0.017453292519943295,12.2
16,3.3999999999999715,-0.017453292519943295,0.21764077919045538,10.017020584889634,10.347368945375464,184.25354534710868,185.48316376026284,29.94123106013622,247.71933849230672,40.2544327594326,0.005111818968852887,-0.025559094844264437,0.0,12.2
17,3.5999999999999672,0.017453292519943295,0.2171411960979328,10.016823374427336,10.347158679557957,184.25027901647323,185.0611573748724,29.94070028087718,247.71430466105016,40.253614761035415,0.012913118126683734,0.022700871966297807,0.017453292519943295,12.2
18,3.799999999999963,0.017453292519943295,0.21662587834595215,10.013819376764532,10.343960377171955,184.19370053165423,184.67905593286022,29.931506267900083,247.6377362739035,40.24117238568171,0.026578425926491078,0.04164079556697757,0.03490658503988659,12.2
