,time,Pitch_increment,Cp,Lambda_i,Lambda,Tem,Tm,Ia,Ea,w,pitch,dpitch,pitch_ref,Vx,actions.pitch,obs.error_wg,obs.pitch,obs.Vx,obs.pitch_ref,reward
0,0.20000000000000004,0.0,0.22392439241019182,9.972826342394919,10.300400282642215,185.6547595397674,196.43781064641527,30.168928594140798,249.61799575557114,40.562964873245186,0.0,0.0,0.0,12.349564517105028,0.0,-0.5629648732451855,0.0,12.349564517105028,0.0,-0.3152882098012888
1,0.4000000000000002,0.0,0.2181940878017793,10.015476416537984,10.34572766219078,186.47950724695562,190.57227545370503,30.30295023058052,250.71645108985865,40.741464043566076,0.0,0.0,0.0,12.349564517105028,0.0,-0.7414640435660758,0.0,12.349564517105028,0.0,-0.5451549101845619
2,0.6000000000000003,0.0,0.21636560788416268,10.02900077835113,10.360103496391762,186.74108215228802,188.71304312600785,30.345456195203,251.06483239758418,40.79807606268349,0.0,0.0,0.0,12.349564517105028,0.0,-0.7980760626834922,0.0,12.349564517105028,0.0,-0.6317700231453673
3,0.8000000000000005,0.0,0.21578438499249974,10.033291370349396,10.36466446857452,186.82407100704225,188.12328318932617,30.358941897586263,251.175362154071,40.816037166073706,0.0,0.0,0.0,12.349564517105028,0.0,-0.8160371660737056,0.0,12.349564517105028,0.0,-0.6633205696636877
4,1.0000000000000007,0.0,0.21559984992729456,10.034652764833908,10.366111679338985,186.85040361714147,187.93616202555245,30.36322095100644,251.2104335921267,40.82173628045687,0.0,0.0,0.0,12.349564517105028,0.0,-0.821736280456868,0.0,12.349564517105028,0.0,-0.6781080513197608
5,1.2000000000000008,-0.017451718550127168,0.21724330803545003,10.02251390275838,10.353208067302276,187.66061510412413,191.73669023421832,30.494880449300624,252.30433990748404,40.99949623446239,0.0,0.0,0.0,12.418799985034646,0.0,-0.9994962344623914,0.0,12.418799985034646,0.0,-0.9966025835448648
6,1.400000000000001,-0.017453168724564497,0.21553141181376492,10.035157558911376,10.366648296497354,187.9629707809514,190.0934190048672,30.5440132959179,252.70783059980434,41.06506353753174,0.0,0.0,0.0,12.422533838368114,0.0,-1.065063537531742,0.0,12.422533838368114,0.0,-1.1358057928260348
7,1.6000000000000012,-0.017453243625970158,0.21495681144326195,10.039393565318466,10.371151414017026,188.10163497810456,189.61781947060558,30.566546250488244,252.89330309280126,41.09520284778306,0.0,0.0,0.0,12.426253458846292,0.0,-1.0952028477830567,0.0,12.426253458846292,0.0,-1.2106146954349477
8,1.8000000000000014,-0.01745326131102427,0.21474183476580797,10.040977384359497,10.372835134714508,188.18846125308016,189.51033424516316,30.58065553428106,253.00973418753014,41.11412291959657,0.0,0.0,0.0,12.42995649707716,0.0,-1.1141229195965678,0.0,12.42995649707716,0.0,-1.2662386308931979
9,2.0000000000000013,-0.017453268593105375,0.2146404592090181,10.041724068409403,10.373628922653367,188.25871599057544,189.51866857550831,30.59207194054045,253.10409126132524,41.129455959421314,0.0,0.0,0.0,12.433640614142407,0.0,-1.129455959421314,0.0,12.433640614142407,0.0,-1.3178673305878785
10,2.199999999999997,-0.01745327275429458,0.21457503620037255,10.04220587847245,10.374141129215472,188.32349781829575,189.56318723808656,30.602598998072057,253.19115497244658,41.143603826626396,0.0,0.0,0.0,12.437303483074729,0.0,-1.1436038266263964,0.0,12.437303483074729,0.0,-1.360991786678568
