rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate
495.0,495,12,1,-714.244069,40,,,,
495.0,990,10,2,-922.2303870000001,91,489,5.589172840118408,0.054724231362342834,0.001
495.0,1485,12,3,-845.7236066666668,121,984,8.628939628601074,0.014247573912143707,0.001
495.0,1980,14,4,-745.5191825,141,1479,11.914409637451172,0.01223564799875021,0.001
495.0,2475,12,5,-665.6763978000001,192,1974,13.629377365112305,0.017530838027596474,0.001
495.0,2970,12,6,-563.7537948333335,244,2469,12.7113037109375,0.4294995069503784,0.001
495.0,3465,11,7,-496.01253742857153,297,2964,13.141674041748047,0.025179194286465645,0.001
495.0,3960,11,8,-441.20137125,349,3459,13.963687896728516,0.02194075658917427,0.001
495.0,4455,11,9,-403.10959477777783,401,3954,11.069622039794922,0.024996615946292877,0.001
495.0,4950,10,10,-366.48784650000005,453,4449,11.18477725982666,0.029184840619564056,0.001
495.0,5445,10,11,-336.3722262727273,505,4944,12.707639694213867,0.03236018493771553,0.001
495.0,5940,10,12,-310.91345125000004,556,5439,10.577256202697754,1.1156526803970337,0.001
495.0,6435,10,13,-291.877387923077,608,5934,11.527252197265625,0.8972786068916321,0.001
495.0,6930,10,14,-273.3283250714286,659,6429,8.919638633728027,0.0993122011423111,0.001
495.0,7425,10,15,-260.7957384666667,711,6924,10.932318687438965,0.06667818129062653,0.001
495.0,7920,10,16,-247.154054625,763,7419,8.668791770935059,0.8410594463348389,0.001
495.0,8415,10,17,-234.92864394117646,815,7914,8.685388565063477,0.0224702637642622,0.001
495.0,8910,10,18,-223.61391127777776,867,8409,7.021283149719238,0.05075209587812424,0.001
495.0,9405,10,19,-215.40131110526315,898,8904,8.841570854187012,0.0531926304101944,0.001
495.0,9900,10,20,-206.93300184999998,914,9399,7.48866081237793,0.016151748597621918,0.001
495.0,10395,11,21,-200.96173719047619,929,9894,8.754817962646484,0.0463702455163002,0.001
495.0,10890,11,22,-192.76966259090906,944,10389,6.587245464324951,0.020526643842458725,0.001
495.0,11385,11,23,-186.72673856521737,959,10884,5.6127238273620605,0.020863784477114677,0.001
495.0,11880,12,24,-184.112989125,975,11379,6.58296012878418,0.024657592177391052,0.001
495.0,12375,12,25,-181.13520096,990,11874,7.100887298583984,0.018975988030433655,0.001
495.0,12870,12,26,-176.72113061538462,1005,12369,3.828343152999878,0.010089979507029057,0.001
495.0,13365,13,27,-171.83085666666668,1020,12864,5.896421432495117,0.02326332964003086,0.001
495.0,13860,13,28,-167.0229610714286,1037,13359,5.689237117767334,0.008801192045211792,0.001
495.0,14355,13,29,-161.99342696551724,1081,13854,5.008093357086182,0.03360900655388832,0.001
495.0,14850,13,30,-158.27317513333335,1104,14349,5.2801971435546875,0.0405145063996315,0.001
495.0,15345,13,31,-156.30875141935485,1133,14844,4.2204179763793945,0.014051683247089386,0.001
495.0,15840,13,32,-152.9761088125,1150,15339,6.604019641876221,0.019732778891921043,0.001
495.0,16335,13,33,-150.80988754545456,1168,15834,4.969032287597656,0.014624999836087227,0.001
495.0,16830,14,34,-147.97962255882354,1187,16329,3.5666158199310303,0.03219432011246681,0.001
495.0,17325,14,35,-145.85880685714287,1204,16824,5.38010311126709,0.01993941329419613,0.001
495.0,17820,14,36,-143.05817186111113,1222,17319,4.989782333374023,0.02659551240503788,0.001
495.0,18315,14,37,-140.72038445945947,1239,17814,5.138995170593262,0.018279988318681717,0.001
495.0,18810,14,38,-138.6809442894737,1257,18309,5.026280879974365,0.047908905893564224,0.001
495.0,19305,15,39,-136.71362964102568,1275,18804,3.134918212890625,0.00963555183261633,0.001
495.0,19800,15,40,-133.79625787499998,1293,19299,5.52448844909668,0.02959253638982773,0.001
495.0,20295,15,41,-132.02677324390243,1311,19794,4.071123123168945,0.5179454684257507,0.001
495.0,20790,15,42,-129.78897226190475,1329,20289,4.636484622955322,0.023763379082083702,0.001
495.0,21285,15,43,-127.28103893023255,1346,20784,2.994617462158203,0.012879683636128902,0.001
495.0,21780,15,44,-125.7206554090909,1363,21279,3.6848607063293457,0.05290703475475311,0.001
495.0,22275,16,45,-124.60325286666666,1379,21774,4.854240417480469,0.017220042645931244,0.001
495.0,22770,16,46,-123.61556654347825,1397,22269,3.0206785202026367,0.0159208495169878,0.001
495.0,23265,16,47,-121.58827255319149,1414,22764,3.3979415893554688,0.014061379246413708,0.001
495.0,23760,16,48,-119.47244997916665,1432,23259,3.898073673248291,0.022310679778456688,0.001
495.0,24255,16,49,-117.45884226530612,1449,23754,2.7833123207092285,0.010097067803144455,0.001
495.0,24750,16,50,-115.90799642,1465,24249,5.3019256591796875,0.0224967822432518,0.001
495.0,25245,17,51,-114.06195349019609,1482,24744,3.515017509460449,0.013586124405264854,0.001
495.0,25740,17,52,-112.92444442307693,1499,25239,3.444516181945801,0.027876736596226692,0.001
495.0,26235,17,53,-111.23087173584908,1517,25734,3.113856315612793,0.01126956194639206,0.001
495.0,26730,17,54,-109.50600672222224,1535,26229,3.0727953910827637,0.015959633514285088,0.001
495.0,27225,17,55,-107.8890601818182,1552,26724,4.1796488761901855,0.032674822956323624,0.001
495.0,27720,17,56,-107.01227914285714,1570,27219,3.484220504760742,0.07262641191482544,0.001
495.0,28215,17,57,-105.48297514035089,1587,27714,2.761718988418579,0.012783569283783436,0.001
495.0,28710,17,58,-104.14788281034484,1606,28209,2.9814281463623047,0.010965916328132153,0.001
