,error,Pitch,WindSpeed,Pitch action,reward
321,2.849473713254431,,,0.8647394,-25.541780050274806
322,,30.60763442993165,,0.8647146,-25.538872268141787
323,,,18.0,0.86474824,-25.544664547359467
324,2.874198076803422,,,0.8648362,-25.55783012873621
325,,30.726189730167384,,0.8649385,-25.57253883028259
326,,,18.0,0.8650352,-25.586485421740324
327,2.9005242375799787,,,0.8651383,-25.601567257354976
328,,30.845698065757684,,0.8652351,-25.615007384699457
329,,,18.0,0.86526334,-25.617776602484554
330,2.928323515992343,,,0.8652148,-25.61004910582953
331,,30.966190252304045,,0.86514366,-25.59978306553994
332,,,18.0,0.8650758,-25.589937048922675
333,2.956365041548983,,,0.86499643,-25.57812384932165
334,,31.087680056095067,,0.8648957,-25.563413254902322
335,,,18.0,0.8648015,-25.55029887973726
336,2.9831816089920196,,,0.86475515,-25.54445690355692
337,,31.210146718025154,,0.86475515,-25.544777258775675
338,,,18.0,0.86475635,-25.54464255457074
339,3.0090511087398246,,,0.86473477,-25.54135814864921
340,,31.333556551933206,,0.8647189,-25.53942542969924
341,,,18.0,0.86472535,-25.54052063953883
342,3.0349461469536623,,,0.86470747,-25.53683295702741
343,,31.457896044254287,,0.86459637,-25.519571719731736
344,,,18.0,0.8644433,-25.49783480550268
345,3.0602115601727577,,,0.8643353,-25.483151866064794
346,,31.58315549373624,,0.86426425,-25.472975170575502
347,,,18.0,0.8641701,-25.458863360361022
348,3.0833598526656942,,,0.86404395,-25.440724796931736
349,,31.70929671525953,,0.8639426,-25.427037513496927
350,,,18.0,0.863904,-25.4223071820352
351,3.1045233857572905,,,0.86389637,-25.42122669628728
352,,31.836266648769357,,0.863873,-25.417543242537516
353,,,18.0,0.86383545,-25.412196885286466
354,3.1254671642364054,,,0.86380875,-25.40856881289514
355,,31.96403818368907,,0.8637836,-25.404767593511185
356,,,18.0,0.863729,-25.39637268084721
357,3.1473324927583697,,,0.86364734,-25.38474297994923
358,,32.09261793136589,,0.86358666,-25.37662134455326
359,,,18.0,0.863559,-25.372941715817706
360,3.169546971353041,,,0.8635385,-25.370004025376193
361,,32.222015833854655,,0.8635249,-25.368475501520187
362,,,18.0,0.8635614,-25.3746637935637
363,3.1914552684068083,,,0.8636668,-25.39049777572638
364,,32.352224881649036,,0.86380506,-25.410295928322558
365,,,18.0,0.86393344,-25.428372653629044
366,3.213444119664513,,,0.86404634,-25.444414635994843
367,,32.4832362627983,,0.86415505,-25.459907093300714
368,,,18.0,0.86424494,-25.472269880648735
369,3.2365220427736325,,,0.86429167,-25.478383835164614
370,,32.615057449340775,,0.86432123,-25.48285928517689
371,,,18.0,0.8643782,-25.49144930152107
372,3.2614348000202584,,,0.86444855,-25.501446484873487
373,,32.74771399021146,,0.8645005,-25.50860885065554
374,,,18.0,0.8645476,-25.51570858875834
375,3.287897954588625,,,0.8646426,-25.53044240376472
376,,32.88123513221736,,0.8648181,-25.556801567396423
377,,,18.0,0.8650453,-25.589934568583395
378,3.314508308040983,,,0.8652761,-25.62316359719993
379,,33.01563075542451,,0.86549056,-25.653973001301445
380,,,18.0,0.86567605,-25.680332336964348
381,3.3391610987545146,,,0.8658097,-25.698870202737538
382,,33.150874867439285,,0.86588264,-25.70871941148551
383,,,18.0,0.8659165,-25.71338188009151
384,3.3609317375384045,,,0.86594045,-25.716751675341232
385,,33.28690937519072,,0.8659458,-25.717069807685103
386,,,18.0,0.8659146,-25.712006156069897
387,3.3814002733200406,,,0.86586535,-25.704934808617917
388,,33.42368767976764,,0.8658397,-25.70179483504617
389,,,18.0,0.8658569,-25.70487785194385
390,3.402306638245628,,,0.8659078,-25.712689118518874
391,,33.56120028495782,,0.86598015,-25.723374488802044
392,,,18.0,0.8660486,-25.7330709401518
393,3.423307266298756,,,0.866084,-25.737526471342964
394,,33.6994502186775,,0.8660599,-25.73298449999129
395,,,18.0,0.86596215,-25.71772230643893
396,3.443066288621355,,,0.8658105,-25.695116164252944
397,,33.838419361114475,,0.86563444,-25.66913168382275
398,,,18.0,0.8654119,-25.635760541741895
399,3.4618243161638063,,,0.8651109,-25.591264341898654
400,,33.97807913064952,,0.8647895,-25.545402302310322
401,,,18.0,0.86454546,-25.511829438349757
402,3.4812997619241184,,,0.8644018,-25.492273352147944
403,,34.11842305421828,,0.864303,-25.478296569191965
404,,,18.0,0.86421716,-25.466288019607777
405,3.5025738536845346,,,0.8641679,-25.460008361371752
406,,34.25947235584255,,0.8641751,-25.46170179179715
407,,,18.0,0.86420655,-25.46615987148334
408,3.5248139203430995,,,0.86421955,-25.46763800873784
409,,34.401247887611355,,0.86421204,-25.46639603721011
410,,,18.0,0.8641882,-25.462555491555467
411,3.5466890787032384,,,0.8641181,-25.451565379409562
412,,34.54374708414078,,0.863986,-25.432078492175396
413,,,18.0,0.86384916,-25.413113539557774
414,3.5677889255730793,,,0.8637779,-25.404008494337848
415,,34.68695240736003,,0.86376286,-25.402211095564905
416,,,18.0,0.8637525,-25.400668211115505
417,3.58853576359713,,,0.8637568,-25.401968252705608
418,,34.830847959518415,,0.86383295,-25.414068155560003
419,,,18.0,0.86397815,-25.435303487854767
420,3.610151881315719,,,0.8641201,-25.45509305408461
421,,34.97543301105501,,0.8642193,-25.468858425521873
422,,,18.0,0.86430407,-25.481037539741813
423,3.6327048080389637,,,0.8643949,-25.49410865151908
424,,35.12072088479993,,0.864468,-25.50392865192246
425,,,18.0,0.86447835,-25.504493973424523
426,3.653842299542285,,,0.8644476,-25.500034887035888
427,,35.2667016768455,,0.86444044,-25.499589385860087
428,,,18.0,0.86446047,-25.50246276402897
429,3.6721585612718033,,,0.86446524,-25.502849542353893
430,,35.41332920551295,,0.86446905,-25.503895805086444
431,,,18.0,0.8645294,-25.51354625236872
432,3.6892188811655755,,,0.8646399,-25.529664372274276
433,,35.56056342840192,,0.864732,-25.542253566108876
434,,,18.0,0.86477745,-25.548314027375504
435,3.707364688573568,,,0.8648089,-25.55289156320917
436,,35.70840133428569,,0.86483514,-25.556330249628687
437,,,18.0,0.86482704,-25.554584835502943
438,3.727450457116918,,,0.8647783,-25.547001213664725
439,,35.856865839958175,,0.8647021,-25.535846329093395
440,,,18.0,0.8646209,-25.524129922353968
441,3.7481137973999474,,,0.8645315,-25.5110537093084
442,,36.00597292900081,,0.8644345,-25.497231003794653
443,,,18.0,0.8643694,-25.488744264567554
444,3.768035791594298,,,0.86437285,-25.49018362978194
445,,36.155712623596116,,0.8644185,-25.496877545840512
446,,,18.0,0.8644508,-25.501058434798534
447,3.7878528047845275,,,0.86445475,-25.5013814252809
448,,36.30607102632518,,0.86445,-25.500656038845328
449,,,18.0,0.8644371,-25.49852072445898
450,3.8088804310649107,,,0.86440086,-25.493065843728406
451,,36.4570533061027,,0.86436343,-25.487850325023427
452,,,18.0,0.8643298,-25.482852986659385
453,3.8309618308850992,,,0.8642676,-25.47331863312526
454,,36.60867335796353,,0.8641727,-25.459589876255766
455,,,18.0,0.86410236,-25.450443423998202
456,3.852563395907322,,,0.86411643,-25.453793981961024
457,,36.76092888355252,,0.8642057,-25.467253569078263
458,,,18.0,0.86432195,-25.48409137239548
459,3.873096435824405,,,0.86445093,-25.502869841530877
460,,36.913799259662596,,0.86459875,-25.52433544293789
461,,,18.0,0.864743,-25.5447239205617
462,3.8942830061215368,,,0.8648497,-25.55949016898301
463,,37.0672753405571,,0.86492264,-25.56981246672731
464,,,18.0,0.8650007,-25.581462871863312
465,3.916493367612163,,,0.86510086,-25.595958495735974
466,,37.221368665695174,,0.8651738,-25.605681780163877
467,,,18.0,0.86518705,-25.60691762366242
468,3.936956260181478,,,0.8651812,-25.60632619313891
469,,37.3760671854019,,0.865216,-25.61221990006118
470,,,18.0,0.8653083,-25.62630166461336
471,3.955013676129304,,,0.8654356,-25.64504366054178
472,,37.53133012533181,,0.8655727,-25.664944442606657
473,,,18.0,0.86570525,-25.683999495436833
474,3.9735566498951536,,,0.86580706,-25.69810423108431
475,,37.68713876008988,,0.86584353,-25.702308518316425
476,,,18.0,0.8658135,-25.697298526663456
477,3.99518827620385,,,0.8657652,-25.690334818481155
478,,37.84351748943329,,0.8657218,-25.683818189570776
479,,,18.0,0.86562634,-25.668521809174983
480,4.019043042871111,,,,
481,,38.00050119876856,,,
482,,,18.0,,
483,4.042339241107551,,,,
484,,38.15809168577195,,,
485,,,18.0,,
486,4.064784261283526,,,,
487,,38.31626976251601,,,
488,,,18.0,,
489,4.087515935626568,,,,
490,,38.47502665758129,,,
491,,,18.0,,
492,4.110248486796227,,,,
493,,38.63435997009272,,,
494,,,18.0,,
495,4.131762590239459,,,,
496,,38.794254703521716,,,
497,,,18.0,,
498,4.1518903705227395,,,,
499,,38.95468657732004,,,
500,,,18.0,,
501,4.171962776936965,,,,
502,,39.115640807151756,,,
503,,,18.0,,
504,4.192845933744288,,,,
505,,39.277119462490084,,,
506,,,18.0,,
507,4.212791681615238,,,,
508,,39.439117712974536,,,
509,,,18.0,,
510,4.229346742123615,,,,
511,,39.60160119295116,,,
512,,,18.0,,
513,4.243309769680186,,,,
514,,39.7645250082016,,,
515,,,18.0,,
516,4.2589700085267586,,,,
517,,39.927881157398176,,,
518,,,18.0,,
519,4.279468939941214,,,,
520,,40.09170931577679,,,
521,,,18.0,,
522,4.303355090996636,,,,
523,,40.256056332588194,,,
524,,,18.0,,
525,4.325952320575304,,,,
526,,40.420925610065424,,,
527,,,18.0,,
528,4.345641747001018,,,,
529,,40.586281640529634,,,
530,,,18.0,,
531,4.364947761492285,,,,
532,,40.752100148200945,,,
533,,,18.0,,
534,4.385884506438794,,,,
535,,40.91821866989134,,,
536,,,18.0,,
537,4.4069783182258355,,,,
538,,41.0845392489433,,,
539,,,18.0,,
540,4.425865380854534,,,,
541,,41.25103750705713,,,
542,,,18.0,,
543,4.443234092781994,,,,
544,,41.417676222324346,,,
545,,,18.0,,
546,4.461340448520711,,,,
547,,41.584451432228036,,,
548,,,18.0,,
549,4.480012286809529,,,,
550,,41.75137796640397,,,
551,,,18.0,,
552,4.4967552064243215,,,,
553,,41.9184423780441,,,
554,,,18.0,,
555,4.510831165952524,,,,
556,,42.085599429607385,,,
557,,,18.0,,
558,4.525321272792381,,,,
559,,42.25282877206797,,,
560,,,18.0,,
561,4.543250644240956,,,,
562,,42.42016907215118,,,
563,,,18.0,,
564,4.563578324102288,,,,
565,,42.58767325639723,,,
566,,,18.0,,
567,4.5833989750503665,,,,
568,,42.755352320671044,,,
569,,,18.0,,
570,4.601719881586053,,,,
571,,42.92318475961677,,,
572,,,18.0,,
573,4.619180460351398,,,,
574,,43.0911503362655,,,
575,,,18.0,,
576,4.636057244581003,,,,
577,,43.25923796892161,,,
578,,,18.0,,
579,4.65205265067833,,,,
580,,43.42743521690361,,,
581,,,18.0,,
582,4.667203319927033,,,,
583,,43.59572666406629,,,
584,,,18.0,,
585,4.682127152418063,,,,
586,,43.7641033697128,,,
587,,,18.0,,
588,4.69730900077769,,,,
589,,43.93256649970999,,,
590,,,18.0,,
